@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute posx numeric
@attribute posy numeric
@attribute vel numeric
@attribute accel numeric
@attribute time numeric
@attribute signal numeric
@attribute accel_Max10 numeric
@attribute accel_stddev numeric
@attribute posx_stddev numeric
@attribute posy_stddev numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric

@data
337,'2018/04/04 19:37:17:580',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
338,'2018/04/04 19:37:17:783',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
339,'2018/04/04 19:37:17:987',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
340,'2018/04/04 19:37:18:188',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
341,'2018/04/04 19:37:18:392',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
342,'2018/04/04 19:37:18:595',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
343,'2018/04/04 19:37:18:800',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
344,'2018/04/04 19:37:19:003',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
345,'2018/04/04 19:37:19:205',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
346,'2018/04/04 19:37:19:410',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
347,'2018/04/04 19:37:19:613',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
348,'2018/04/04 19:37:19:814',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
349,'2018/04/04 19:37:20:017',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
350,'2018/04/04 19:37:20:218',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
351,'2018/04/04 19:37:20:418',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
352,'2018/04/04 19:37:20:622',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
353,'2018/04/04 19:37:20:823',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
354,'2018/04/04 19:37:21:024',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
355,'2018/04/04 19:37:21:227',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
356,'2018/04/04 19:37:21:430',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
357,'2018/04/04 19:37:21:633',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
358,'2018/04/04 19:37:32:783',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
359,'2018/04/04 19:37:32:984',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
360,'2018/04/04 19:37:33:185',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
361,'2018/04/04 19:37:33:388',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
362,'2018/04/04 19:37:33:591',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
363,'2018/04/04 19:37:33:795',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
364,'2018/04/04 19:37:33:998',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
365,'2018/04/04 19:37:34:199',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
366,'2018/04/04 19:37:34:402',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
367,'2018/04/04 19:37:34:603',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
368,'2018/04/04 19:37:34:806',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
369,'2018/04/04 19:37:35:009',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
370,'2018/04/04 19:37:35:212',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
371,'2018/04/04 19:37:35:415',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
372,'2018/04/04 19:37:35:616',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
373,'2018/04/04 19:37:35:818',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
374,'2018/04/04 19:37:36:020',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
375,'2018/04/04 19:37:36:224',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
376,'2018/04/04 19:37:36:424',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
377,'2018/04/04 19:37:36:628',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
378,'2018/04/04 19:37:36:832',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
379,'2018/04/04 19:37:37:034',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
380,'2018/04/04 19:37:37:236',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
381,'2018/04/04 19:37:37:436',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
382,'2018/04/04 19:37:37:641',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
383,'2018/04/04 19:37:37:842',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
384,'2018/04/04 19:37:38:045',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
385,'2018/04/04 19:37:38:249',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
386,'2018/04/04 19:37:38:452',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
387,'2018/04/04 19:37:38:653',13,0,3,0,0,48,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
