@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute iposx numeric
@attribute iposy numeric
@attribute ivel numeric
@attribute iaccel numeric
@attribute itime numeric
@attribute isignal numeric
@attribute iaccel_max numeric
@attribute iaccel_stddev numeric
@attribute iposx_stddev numeric
@attribute iposy_stddev numeric
@attribute posx numeric
@attribute posy numeric
@attribute vel numeric
@attribute accel numeric
@attribute time numeric
@attribute signal {0,1,2}
@attribute accel_max10 numeric
@attribute accel_stddev10 numeric
@attribute posx_stddev numeric
@attribute posy_stddev numeric
@attribute conductor_events {0,1,2,3,4,5,6,7,8,9,10}
@attribute contuctor_time numeric
@attribute graphics_trigger numeric
@attribute color_trigger numeric
@attribute particle_maxspeed numeric
@attribute particle_maxforce numeric
@attribute mixgraphics {0,1,2,3}

@data
70,'2018/04/05 13:44:45:117',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
71,'2018/04/05 13:44:45:322',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
72,'2018/04/05 13:44:45:526',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
73,'2018/04/05 13:44:45:731',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
74,'2018/04/05 13:44:45:933',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
75,'2018/04/05 13:44:46:136',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
76,'2018/04/05 13:44:46:339',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
77,'2018/04/05 13:44:46:542',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
78,'2018/04/05 13:44:46:744',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
79,'2018/04/05 13:44:46:947',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
80,'2018/04/05 13:44:47:150',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
81,'2018/04/05 13:44:47:352',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
82,'2018/04/05 13:55:16:262',5,204,0,0,0,32,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
83,'2018/04/05 13:55:16:466',5,204,0,0,0,32,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
84,'2018/04/05 13:55:16:669',5,204,0,0,0,32,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
85,'2018/04/05 13:55:16:870',5,204,0,0,0,32,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
86,'2018/04/05 13:55:17:073',5,204,0,0,0,32,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
87,'2018/04/05 13:55:17:277',5,204,0,0,0,32,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
88,'2018/04/05 13:55:17:478',5,204,0,0,0,32,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
89,'2018/04/05 13:55:17:681',5,204,0,0,0,32,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
90,'2018/04/05 13:55:17:885',5,204,0,0,0,32,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
91,'2018/04/05 13:55:18:086',5,204,0,0,0,32,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
92,'2018/04/05 13:55:18:290',5,204,0,0,0,32,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
179,'2018/04/05 14:00:33:432',10,39,4,0,0,38,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
180,'2018/04/05 14:00:33:636',10,39,4,0,0,38,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
181,'2018/04/05 14:00:33:839',10,39,4,0,0,38,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
182,'2018/04/05 14:00:34:040',10,39,4,0,0,38,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
183,'2018/04/05 14:00:34:244',10,39,4,0,0,38,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
184,'2018/04/05 14:00:34:447',10,39,4,0,0,38,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
185,'2018/04/05 14:00:34:649',10,39,4,0,0,38,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
186,'2018/04/05 14:00:34:852',10,39,4,0,0,38,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
187,'2018/04/05 14:00:35:056',10,39,4,0,0,38,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
188,'2018/04/05 14:00:35:261',10,39,4,0,0,38,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
189,'2018/04/05 14:00:35:464',10,39,4,0,0,38,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
190,'2018/04/05 14:00:35:667',10,39,4,0,0,38,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
191,'2018/04/05 14:00:35:869',10,39,4,0,0,38,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
192,'2018/04/05 14:00:36:072',10,39,4,0,0,38,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
193,'2018/04/05 14:02:37:647',11,356,38,0,0,40,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
194,'2018/04/05 14:02:37:850',11,356,38,0,0,40,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
195,'2018/04/05 14:02:38:055',11,356,38,0,0,40,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
196,'2018/04/05 14:02:38:255',11,356,38,0,0,40,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
197,'2018/04/05 14:02:38:458',11,356,38,0,0,40,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
198,'2018/04/05 14:02:38:660',11,356,38,0,0,40,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
199,'2018/04/05 14:02:38:863',11,356,38,0,0,40,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
200,'2018/04/05 14:02:39:067',11,356,38,0,0,40,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
252,'2018/04/05 14:02:49:609',11,331,35,27.459061,26.627054,40,1,73.539108,22.371296,46.431023,44.68568,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
310,'2018/04/05 14:03:01:380',11,626,34,35.735138,335.059692,40,1,367.295532,140.655869,14.411454,152.989014,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
314,'2018/04/05 14:03:02:190',11,479,37,32.984844,32.984844,40,1,44.721359,16.517567,6.135145,26.646013,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
326,'2018/04/05 14:10:55:241',12,4,0,0,0,48,1,0,0,0,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
327,'2018/04/05 14:10:55:444',12,4,0,0,0,48,1,0,0,0,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
328,'2018/04/05 14:10:55:645',12,4,0,0,0,48,1,0,0,0,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
329,'2018/04/05 14:10:55:849',12,4,0,0,0,48,1,0,0,0,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
330,'2018/04/05 14:10:56:054',12,4,0,0,0,48,1,0,0,0,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
331,'2018/04/05 14:10:56:258',12,4,0,0,0,48,1,0,0,0,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
332,'2018/04/05 14:10:56:460',12,4,0,0,0,48,1,0,0,0,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
333,'2018/04/05 14:10:56:662',12,4,0,0,0,48,1,0,0,0,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
334,'2018/04/05 14:10:56:866',12,4,0,0,0,48,1,0,0,0,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
335,'2018/04/05 14:10:57:070',12,4,0,0,0,48,1,0,0,0,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
336,'2018/04/05 14:10:57:271',12,4,0,0,0,48,1,0,0,0,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
337,'2018/04/05 14:10:57:473',12,4,0,0,0,48,1,0,0,0,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
338,'2018/04/05 14:10:57:677',12,4,0,0,0,48,1,0,0,0,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
339,'2018/04/05 14:10:57:878',12,4,0,0,0,48,1,0,0,0,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
340,'2018/04/05 14:10:58:083',12,4,0,0,0,48,1,0,0,0,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
341,'2018/04/05 14:11:44:629',13,245,266,0,0,49,1,0,0,0,0,?,267,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
342,'2018/04/05 14:11:44:833',13,245,266,0,0,49,1,0,0,0,0,?,267,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
343,'2018/04/05 14:11:45:037',13,245,266,0,0,49,1,0,0,0,0,?,267,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
344,'2018/04/05 14:11:45:239',13,245,266,0,0,49,1,0,0,0,0,?,267,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
345,'2018/04/05 14:11:45:442',13,245,266,0,0,49,1,0,0,0,0,?,267,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
346,'2018/04/05 14:11:45:646',13,245,266,0,0,49,1,0,0,0,0,?,267,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
347,'2018/04/05 14:11:45:850',13,245,266,0,0,49,1,0,0,0,0,?,267,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
348,'2018/04/05 14:11:46:053',13,245,266,0,0,49,1,0,0,0,0,?,267,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
349,'2018/04/05 14:11:46:256',13,245,266,0,0,49,1,0,0,0,0,?,267,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
350,'2018/04/05 14:11:46:460',13,245,266,0,0,49,1,0,0,0,0,?,267,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
351,'2018/04/05 14:11:46:665',13,245,266,0,0,49,1,0,0,0,0,?,267,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
352,'2018/04/05 14:11:46:869',13,245,266,0,0,49,1,0,0,0,0,?,267,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
353,'2018/04/05 14:11:47:073',13,245,266,0,0,49,1,0,0,0,0,?,267,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
354,'2018/04/05 14:11:47:277',13,245,266,0,0,49,1,0,0,0,0,?,267,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
355,'2018/04/05 14:11:47:482',13,245,266,0,0,49,1,0,0,0,0,?,267,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
356,'2018/04/05 14:11:47:685',13,245,266,0,0,49,1,0,0,0,0,?,267,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
357,'2018/04/05 14:11:47:890',13,245,266,0,0,49,1,0,0,0,0,?,267,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
358,'2018/04/05 14:11:48:093',13,245,266,0,0,49,1,0,0,0,0,?,267,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
359,'2018/04/05 14:11:48:298',13,245,266,0,0,49,1,0,0,0,0,?,267,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
360,'2018/04/05 14:11:48:501',13,245,266,0,0,49,1,0,0,0,0,?,267,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
361,'2018/04/05 14:11:48:706',13,245,266,0,0,49,1,0,0,0,0,?,267,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
362,'2018/04/05 14:12:04:971',14,217,379,0,0,49,1,0,0,0,0,?,380,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
363,'2018/04/05 14:12:05:175',14,217,379,0,0,49,1,0,0,0,0,?,380,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
364,'2018/04/05 14:12:05:380',14,217,379,0,0,49,1,0,0,0,0,?,380,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
365,'2018/04/05 14:12:05:583',14,217,379,0,0,49,1,0,0,0,0,?,380,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
366,'2018/04/05 14:12:05:787',14,217,379,0,0,49,1,0,0,0,0,?,380,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
